iter	MAE
0	78.89284435
1	78.3938687
2	77.89461912
3	77.39485021
4	76.89498163
5	76.39566139
6	75.897638
7	75.39791447
8	74.89863458
9	74.39927156
10	73.90031857
11	73.40145083
12	72.901583
13	72.40273532
14	71.90454123
15	71.40480418
16	70.90506528
17	70.40519738
18	69.90546147
19	69.40572541
20	68.99586194
21	68.61223367
22	68.22965475
23	67.85774147
24	67.48869276
25	67.12323427
26	66.76279698
27	66.4119232
28	66.06121188
29	65.71081779
30	65.37502347
31	65.03715462
32	64.70551913
33	64.38234048
34	64.06221735
35	63.74370834
36	63.43284186
37	63.12434296
38	62.81945756
39	62.52484593
40	62.23378805
41	61.92393641
42	61.61884661
43	61.3164474
44	61.01981791
45	60.72848477
46	60.43812682
47	60.15051189
48	59.86749684
49	59.59004969
50	59.31541062
51	59.04123852
52	58.77054636
53	58.50405891
54	58.23751086
55	57.97449748
56	57.71714092
57	57.4670862
58	57.21242351
59	56.9602642
60	56.70932874
61	56.46232206
62	56.21892377
63	55.97754241
64	55.73961093
65	55.50601738
66	55.27485419
67	55.04470689
68	54.81961588
69	54.60055107
70	54.37962353
71	54.16016591
72	53.94442705
73	53.72870299
74	53.51483801
75	53.30354747
76	53.09610751
77	52.88946788
78	52.68373086
79	52.48108997
80	52.27816116
81	52.07991308
82	51.88245477
83	51.68801716
84	51.49476612
85	51.30431171
86	51.11577629
87	50.9280316
88	50.74575176
89	50.56512487
90	50.38620841
91	50.20667697
92	50.03056396
93	49.85452893
94	49.68214345
95	49.50941425
96	49.34010606
97	49.17225157
98	49.00698776
99	48.84180533
