iter	Passed	Remaining
0	90	8953
1	183	9014
2	312	10103
3	376	9026
4	455	8663
5	564	8838
6	672	8934
7	756	8700
8	861	8707
9	992	8928
10	1076	8711
11	1166	8551
12	1233	8254
13	1322	8124
14	1406	7972
15	1469	7712
16	1528	7463
17	1565	7131
18	1624	6925
19	1678	6712
20	1730	6510
21	1819	6449
22	1905	6377
23	1988	6296
24	2078	6234
25	2163	6158
26	2251	6088
27	2381	6125
28	2464	6032
29	2562	5980
30	2649	5897
31	2743	5829
32	2839	5765
33	2966	5758
34	3078	5717
35	3187	5666
36	3309	5635
37	3436	5607
38	3570	5584
39	3652	5479
40	3740	5383
41	3825	5283
42	3914	5188
43	4008	5102
44	4094	5004
45	4187	4915
46	4268	4813
47	4356	4719
48	4436	4617
49	4528	4528
50	4621	4439
51	4703	4342
52	4791	4249
53	4874	4152
54	4959	4058
55	5050	3967
56	5136	3875
57	5235	3790
58	5320	3697
59	5404	3602
60	5490	3510
61	5578	3419
62	5667	3328
63	5753	3236
64	5838	3143
65	5924	3052
66	6008	2959
67	6100	2870
68	6216	2792
69	6296	2698
70	6381	2606
71	6477	2519
72	6562	2427
73	6656	2338
74	6749	2249
75	6833	2157
76	6923	2068
77	7005	1975
78	7091	1884
79	7177	1794
80	7263	1703
81	7353	1614
82	7440	1524
83	7526	1433
84	7619	1344
85	7704	1254
86	7790	1164
87	7884	1075
88	7966	984
89	8051	894
90	8138	804
91	8221	714
92	8310	625
93	8397	536
94	8500	447
95	8579	357
96	8673	268
97	8757	178
98	8847	89
99	8931	0
